;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
622;"GlaxoFilter;MLSMRFilter";94.5433;-7.6275;91.9322
460;"BeyondRo5Filter;GSKFilter";94.5433;-7.758;91.7942
529;"BrenkFilter;REOSFilter";94.5433;-7.7817;91.7691
481;"BeyondRo5Filter;ValenceDiscoveryFilter";94.5433;-7.841;91.7064
524;"BrenkFilter;NIBRFilter";94.5433;-7.8885;91.6562
741;"LipinskiFilter;TiceInsecticidesFilter";94.5433;-8.1257;91.4053
655;"GSKFilter;RuleOfVeberFilter";94.5433;-8.2562;91.2673
642;"GSKFilter;InpharmaticaFilter";94.5433;-8.363;91.1543
656;"GSKFilter;RuleOfXuFilter";94.5433;-8.4698;91.0414
465;"BeyondRo5Filter;MLSMRFilter";94.5433;-8.4816;91.0289
636;"GlaxoFilter;TiceHerbicidesFilter";94.5433;-8.5528;90.9536
637;"GlaxoFilter;TiceInsecticidesFilter";94.5433;-8.6833;90.8156
723;"LINTFilter;ValenceDiscoveryFilter";94.5433;-8.707;90.7905
508;"BMSFilter;TiceHerbicidesFilter";94.5433;-8.7663;90.7277
644;"GSKFilter;LipinskiFilter";94.5433;-9.1815;90.2886
703;"InpharmaticaFilter;ValenceDiscoveryFilter";94.5433;-9.5611;89.8871
687;"InpharmaticaFilter;MLSMRFilter";94.5433;-9.6797;89.7616
671;"HaoFilter;PAINSFilter";94.5433;-9.8577;89.5734
701;"InpharmaticaFilter;TiceHerbicidesFilter";94.5433;-9.8814;89.5483
646;"GSKFilter;MolecularWeightFilter";94.5433;-9.9051;89.5232
650;"GSKFilter;PAINSFilter";94.5433;-10.0237;89.3977
667;"HaoFilter;MolecularWeightFilter";94.5433;-10.4033;88.9962
510;"BMSFilter;ValenceDiscoveryFilter";94.5433;-10.427;88.9711
665;"HaoFilter;LipinskiFilter";94.5433;-10.4508;88.946
683;"HaoFilter;ZINCBasicFilter";94.5433;-10.5219;88.8708
658;"GSKFilter;TiceHerbicidesFilter";94.5433;-10.5338;88.8582
643;"GSKFilter;LINTFilter";94.5433;-10.688;88.6951
664;"HaoFilter;LINTFilter";94.5433;-10.7711;88.6073
471;"BeyondRo5Filter;PfizerFilter";94.5433;-10.7948;88.5822
693;"InpharmaticaFilter;PfizerFilter";94.5433;-10.8541;88.5194
500;"BMSFilter;PfizerFilter";94.5433;-10.866;88.5069
732;"LipinskiFilter;PfizerFilter";94.5433;-11.0202;88.3438
677;"HaoFilter;RuleOfVeberFilter";94.5433;-11.0795;88.2811
618;"GlaxoFilter;HaoFilter";94.5433;-11.2337;88.1179
663;"HaoFilter;InpharmaticaFilter";94.5433;-11.3642;87.9799
669;"HaoFilter;NIHFilter";94.5433;-11.376;87.9674
648;"GSKFilter;NIHFilter";94.5433;-11.6251;87.7039
651;"GSKFilter;PfizerFilter";94.5433;-11.6845;87.6412
489;"BMSFilter;GSKFilter";94.5433;-11.7912;87.5282
652;"GSKFilter;REOSFilter";94.5433;-11.9217;87.3902
598;"GhoseFilter;LipinskiFilter";94.5433;-12.242;87.0514
490;"BMSFilter;HaoFilter";94.5433;-12.5148;86.7629
487;"BMSFilter;GhoseFilter";94.5433;-12.5623;86.7127
759;"MLSMRFilter;TiceInsecticidesFilter";94.5433;-12.5741;86.7001
461;"BeyondRo5Filter;HaoFilter";94.5433;-12.8944;86.3614
522;"BrenkFilter;MLSMRFilter";94.5433;-12.9181;86.3363
602;"GhoseFilter;NIHFilter";94.5433;-12.9775;86.2735
678;"HaoFilter;RuleOfXuFilter";94.5433;-12.9893;86.261
458;"BeyondRo5Filter;GhoseFilter";94.5433;-13.0486;86.1982
660;"GSKFilter;ValenceDiscoveryFilter";94.5433;-13.1079;86.1355
609;"GhoseFilter;RuleOfVeberFilter";94.5433;-13.1198;86.123
600;"GhoseFilter;MolecularWeightFilter";94.5433;-13.191;86.0477
758;"MLSMRFilter;TiceHerbicidesFilter";94.5433;-13.4045;85.8218
613;"GhoseFilter;TiceInsecticidesFilter";94.5433;-13.4401;85.7842
594;"GhoseFilter;GSKFilter";94.5433;-13.9739;85.2196
681;"HaoFilter;TiceInsecticidesFilter";94.5433;-14.4958;84.6675
610;"GhoseFilter;RuleOfXuFilter";94.5433;-14.5552;84.6048
593;"GhoseFilter;GlaxoFilter";94.5433;-14.6145;84.542
